琏 | lian 55
鞎 | hen 1
媐 | yi 1
縓 | quan 2
馒 | man 52
岔 | cha 294
暘 | yang 3
訛 | e 1
梜 | jia 1
谟 | mo 194
犠 | xi 1
阣 | yi 1
唥 | lang 2
璤 | hui 1
頧 | dui 1
弩 | nu 303
纨 | wan 103
愭 | qi 1
肬 | you 3
洵 | xun 78
貴 | gui 22
厶 | si 1
眹 | zhen 3
隸 | li 1
礽 | reng 4
颼 | sou 1
徾 | mei 1
荁 | huan 1
懂 | dong 168
蕅 | ou 7
淊 | yan 1
配 | pei 3835
呏 | sheng 1
矎 | xuan 1
魑 | chi 47
幓 | shen 1
秒 | miao 8964
鵕 | jun 5
恗 | kua 1
菖 | chang 108
橛 | jue 24
藚 | xu 2
江 | jiang 24134
连 | lian 8979
勠 | lu 1
癣 | xuan 171
釢 | nai 1
哤 | mang 3
硧 | yong 1
鯦 | jiu 1
廨 | xie 30
艫 | lu 1
鷪 | ying 1
惬 | qie 135
葯 | yao 1
蹳 | bo 2
泴 | guan 1
遷 | qian 4
坹 | xue 1
相 | xiang 14806
驻 | zhu 652
好 | hao 7781
磼 | za 1
鱿 | you 45
抁 | yan 1
撅 | jue 25
蔄 | man 1
輈 | zhou 25
炍 | pan 1
鄌 | tang 3
嘎 | ga 509
窑 | yao 947
鬐 | qi 13
堒 | kun 1
粕 | po 51
鴔 | fu 1
蚙 | qin 1
搚 | xie 1
袝 | fu 1
銡 | ji 2
垣 | yuan 908
瀢 | wei 1
妧 | yuan 1
稦 | yi 1
麩 | fu 1
簪 | zan 483
斯 | si 16620
蘮 | ji 2
蠲 | juan 109
熷 | zeng 2
鈶 | tai 1
圸 | shan 1
箻 | lv 2
鐺 | tang 1
夼 | kuang 11
綿 | mian 1
鸾 | luan 787
蟃 | man 1
敄 | wu 1
仉 | zhang 19
鏋 | man 1
働 | dong 1
煌 | huang 1051
嫑 | bao 1
筐 | kuang 149
峕 | shi 2
絔 | mo 1
曙 | shu 664
蝘 | yan 6
棝 | gu 2
乞 | qi 2187
鍠 | huang 1
瓥 | li 1
镤 | pu 5
婦 | fu 12
绩 | ji 467
齨 | jiu 1
屪 | liao 1
胭 | yan 129
普 | pu 4733
諱 | hui 1
俳 | pai 19
賵 | feng 1
凷 | kuai 1
牶 | quan 1
雹 | bao 55
瑺 | chang 3
飽 | bao 9
繾 | qian 2
肂 | si 1
椇 | ju 7
誆 | kuang 1
侈 | chi 73
猋 | biao 2
貊 | mo 18
甏 | beng 2
階 | jie 6
宐 | yi 1
缓 | huan 1099
嶔 | qin 24
脗 | wen 1
枘 | rui 19
講 | jiang 32
负 | fu 2335
刡 | min 1
玠 | jie 31
霣 | yun 6
吥 | pou 1
疤 | ba 118
帩 | qiao 1
怭 | bi 1
膬 | cui 2
樱 | ying 817
记 | ji 15004
趴 | pa 32
劶 | kou 1
瘹 | diao 1
咺 | xuan 2
砽 | yong 1
馼 | wen 1
庾 | yu 204
艁 | zao 1
惂 | kan 1
櫆 | kui 4
蹉 | cuo 186
卋 | shi 1
遍 | bian 874
問 | wen 11
盎 | ang 84
驑 | liu 1
当 | dang 6635
磒 | yun 1
鱕 | fan 1
慗 | chi 1
苖 | di 2
蓚 | tiao 2
浟 | you 1
軞 | mao 1
叠 | die 1029
督 | du 948
郢 | ying 316
嗤 | chi 82
祧 | tiao 13
髦 | mao 62
忨 | wan 1
荫 | yin 465
鳪 | bu 1
懬 | kuang 1
蕯 | sa 1
毰 | pei 9
轳 | lu 55
淴 | hu 1
酷 | ku 678
噹 | dang 29
魻 | xia 1
塽 | shuang 4
秼 | zhu 1
鵿 | sheng 1
萀 | hu 1
舄 | xi 84
榉 | ju 29
蠈 | zei 1
瞍 | sou 16
阌 | wen 7
儎 | zai 2
綑 | kun 1
鰐 | e 1
弒 | shi 1
箕 | ji 232
騔 | ge 1
攖 | ying 1
膙 | jiang 2
挚 | zhi 69
辝 | ci 1
椞 | xi 1
閡 | he 1
傣 | dai 151
眢 | yuan 5
鎥 | tiao 1
座 | zuo 1955
紦 | ba 1
馩 | fen 1
笪 | da 15
抯 | zha 1
脮 | tui 1
梳 | shu 373
輲 | chuan 3
皷 | gu 1
倸 | cai 2
粻 | zhang 6
錺 | fang 1
帼 | guo 39
窿 | long 61
餾 | liu 1
摀 | wu 2
胃 | wei 1612
扄 | shang 1
軇 | dao 1
案 | an 2836
埍 | juan 1
癌 | ai 620
鋏 | jia 1
巑 | cuan 6
籐 | teng 1
飓 | ju 56
寕 | ning 1
穔 | huang 1
懙 | yu 1
聘 | pin 198
濝 | qi 1
蹜 | su 5
痡 | pu 5
坢 | pan 1
珥 | er 91
秩 | zhi 308
顨 | xun 1
孪 | luan 89
蟭 | jiao 6
慮 | lv 2
跱 | zhi 5
潲 | shao 5
诵 | song 379
囷 | qun 45
當 | dang 33
釹 | nv 1
峻 | jun 281
獺 | ta 1
嫿 | hua 1
祾 | ling 3
怃 | wu 13
螂 | lang 90
渇 | ke 1
趆 | di 1
琋 | xi 1
變 | bian 5
嚌 | zhai 1
爏 | li 1
岐 | qi 424
砓 | zhe 1
龒 | mang 1
媔 | mian 1
悘 | yi 1
伝 | yun 1
溜 | liu 477
訟 | song 1
唡 | liang 1
璠 | fan 54
連 | lian 21
匥 | fan 1
犤 | pai 1
天 | tian 38447
碨 | wei 3
札 | zha 970
蚬 | xian 47
洱 | er 66
貰 | shi 1
侲 | zhen 2
誴 | cong 1
営 | ying 1
焹 | wang 1
邸 | di 167
厺 | qu 1
缽 | bo 1
妾 | qie 478
乇 | zhe 1
淆 | xiao 27
襉 | jian 1
呋 | fu 245
毊 | xiao 1
靍 | he 1
剏 | chuang 2
燎 | liao 158
鵑 | juan 1
塓 | mi 1
習 | xi 3
魕 | qi 1
晗 | han 65
汛 | xun 62
菚 | zhan 1
仜 | hong 1
機 | ji 29
觞 | shang 399
哠 | hao 1
灣 | wan 1
韢 | sui 1
勤 | qin 1687
繧 | yun 1
鷦 | jiao 1
壨 | lei 1
葫 | hu 282
鯪 | ling 1
曬 | shai 28
良 | liang 5464
衳 | zhong 1
櫴 | lai 1
陷 | xian 906
烸 | hai 1
鱻 | xian 11
彽 | di 1
综 | zong 4845
驿 | yi 672
撁 | qian 1
蔀 | bu 11
抅 | ju 1
梉 | zhuang 1
褈 | zhong 1
皍 | ji 1
霌 | zhou 1
倎 | tian 1
鴐 | ge 4
帒 | dai 1
窕 | tiao 140
鬔 | peng 1
搖 | yao 1
肙 | yuan 3
戚 | qi 517
躝 | lan 4
栞 | kan 4
钡 | bei 107
冣 | ju 1
瘢 | ban 164
銥 | yi 1
簦 | deng 11
颩 | diu 2
斫 | zhuo 103
稪 | fu 6
掯 | ken 3
耮 | lao 1
榳 | ting 1
